entrezID_curated	Protein IDs	Majority protein IDs	Protein names	Fasta headers	Gene_name_orig	Nuc_rep2	Nuc_rep3	Total_rep2	Total_rep3	Q-value	species	Nuc_avg	Total_avg	valid_cnt	uid	multiple_gene_ids	gene_id_cnt	gene_id_replicate_cnt	gene_symbol_final	proteom_nuclear_logFC	proteom_nuclear_P.Value	proteom_nuclear_adj.P.Val	proteom_total_logFC	proteom_total_P.Value	proteom_total_adj.P.Val
728113	A0A075B752;A0A087WUP0	A0A075B752;A0A087WUP0		>tr|A0A075B752|A0A075B752_HUMAN Annexin A8-like protein 1 OS=Homo sapiens GN=ANXA8L1 PE=4 SV=1;>tr|A0A087WUP0|A0A087WUP0_HUMAN Annexin A8-like protein 1 OS=Homo sapiens GN=ANXA8L1 PE=4 SV=1		-0.6905443	-0.5533203	0.01321208	-0.03659984	0	Homo sapiens	-1.2438646	-0.02338776	4	11	FALSE	0	2	ANXA8L1	-0.5976943	0.000619988198551402	0.0085559470865489	-0.153994415	0.043971801015313	0.196819525215286
56850	Q4V328-4;A0A075B793;Q4V328;Q4V328-2;A0A087WT45;Q4V328-3;A0A087WXA6;A0A087WZF5;A0A087WW92;A0A087WV84;A0A087WWF2	Q4V328-4;A0A075B793;Q4V328;Q4V328-2;A0A087WT45;Q4V328-3	GRIP1-associated protein 1	>sp|Q4V328-4|GRAP1_HUMAN Isoform 4 of GRIP1-associated protein 1 OS=Homo sapiens GN=GRIPAP1;>tr|A0A075B793|A0A075B793_HUMAN GRIP1-associated protein 1 OS=Homo sapiens GN=GRIPAP1 PE=1 SV=2;>sp|Q4V328|GRAP1_HUMAN GRIP1-associated protein 1 OS=Homo sapiens GN	GRIPAP1	NA	NA	-0.8921246	-0.767855	0	Homo sapiens	NA	-1.6599796	2	12	FALSE	0	1	GRIPAP1	NA	NA	NA	-0.8299898	0.000639208917668137	0.132568392338105
23380,647135	A0A075B7B5;O75044;A2RUF3;Q5VZB4;P0DMP2;E9PDX4;A0A087X0L1;A0A087WW56	A0A075B7B5;O75044;A2RUF3;Q5VZB4;P0DMP2	SLIT-ROBO Rho GTPase-activating protein 2	>tr|A0A075B7B5|A0A075B7B5_HUMAN SLIT-ROBO Rho GTPase-activating protein 2 OS=Homo sapiens GN=SRGAP2 PE=1 SV=1;>sp|O75044|SRGP2_HUMAN SLIT-ROBO Rho GTPase-activating protein 2 OS=Homo sapiens GN=SRGAP2 PE=1 SV=2;>tr|A2RUF3|A2RUF3_HUMAN SLIT-ROBO Rho GTPase	SRGAP2	NA	NA	0.3512891	NA	0.00015823	Homo sapiens	NA	0.3512891	1	13	TRUE	0	1	SRGAP2,SRGAP2B	NA	NA	NA	0.3512891	0.0442496115056778	0.197171063032652
100101267	A8CG34;A0A075B7F8;A8CG34-2;A0A087WY75;A6NF01;C9JFL1	A8CG34;A0A075B7F8;A8CG34-2;A0A087WY75	Nuclear envelope pore membrane protein POM 121C	>sp|A8CG34|P121C_HUMAN Nuclear envelope pore membrane protein POM 121C OS=Homo sapiens GN=POM121C PE=1 SV=2;>tr|A0A075B7F8|A0A075B7F8_HUMAN Nuclear envelope pore membrane protein POM 121C OS=Homo sapiens GN=POM121C PE=4 SV=2;>sp|A8CG34-2|P121C_HUMAN Isofor	POM121C	-0.1066378	0.1025909	0.2753647	0.6170163	0	Homo sapiens	-0.00404690000000001	0.892381	4	14	FALSE	0	1	POM121C	-0.00202344999999999	0.984625698499671	0.992154903396931	0.4461905	0.0239915257496315	0.163377958339964
322	A0A075B7G8;O00213-2;O00213;J3KPL8	A0A075B7G8;O00213-2;O00213;J3KPL8	Amyloid beta A4 precursor protein-binding family B member 1	>tr|A0A075B7G8|A0A075B7G8_HUMAN Tigger transposable element-derived protein 4 OS=Homo sapiens GN=TIGD4 PE=4 SV=2;>sp|O00213-2|APBB1_HUMAN Isoform 2 of Amyloid beta A4 precursor protein-binding family B member 1 OS=Homo sapiens GN=APBB1;>sp|O00213|APBB1_HUM	APBB1	NA	NA	NA	NA	0.0075309	Homo sapiens	NA	NA	0	15	FALSE	0	1	APBB1	NA	NA	NA	NA	NA	NA
83596	A0A087WSV0;Q9HB09-3;Q9HB09;M0QZM6;I6LJZ7	A0A087WSV0;Q9HB09-3;Q9HB09	Bcl-2-like protein 12	>tr|A0A087WSV0|A0A087WSV0_HUMAN Histone H2B type 1-O OS=Homo sapiens GN=HIST1H2BO PE=4 SV=1;>sp|Q9HB09-3|B2L12_HUMAN Isoform 3 of Bcl-2-like protein 12 OS=Homo sapiens GN=BCL2L12;>sp|Q9HB09|B2L12_HUMAN Bcl-2-like protein 12 OS=Homo sapiens GN=BCL2L12 PE=1	BCL2L12	NA	NA	0.2481705	NA	0	Homo sapiens	NA	0.2481705	1	16	FALSE	0	1	BCL2L12	NA	NA	NA	0.2481705	0.0850350571890926	0.258319108397871
4925	V9HW75;A0A087WSV8;P80303-2;P80303;E9PKG6;Q2L696;E9PLR0;H0YEG8;E9PLE9;H0YD18;E9PJP3;E9PM22	V9HW75;A0A087WSV8;P80303-2;P80303;E9PKG6;Q2L696	Nucleobindin-2;Nesfatin-1	>tr|V9HW75|V9HW75_HUMAN DDB1- and CUL4-associated factor 5 OS=Homo sapiens GN=HEL-S-109 PE=2 SV=1;>tr|A0A087WSV8|A0A087WSV8_HUMAN DDB1- and CUL4-associated factor 5 OS=Homo sapiens GN=DCAF5 PE=4 SV=1;>sp|P80303-2|NUCB2_HUMAN Isoform 2 of Nucleobindin-2 OS=	Nucb2;NUCB2	NA	NA	-0.06343934	0.06887715	0	Homo sapiens	NA	0.00543781	2	17	FALSE	0	1	NUCB2	NA	NA	NA	0.00271890499999999	0.966548570507585	0.980708972335867
7296	E9PIR7;F8W809;Q16881-5;Q16881-2;A0A087WSW9;Q16881-4;E9PNQ6;Q16881-3;Q16881-6;Q16881;A0A087WSY9;E2QRB9;Q16881-7;E9PKD3;E9PIZ5;E9PLT3;E9PKI4;E9PRI8;E9PQI3	E9PIR7;F8W809;Q16881-5;Q16881-2;A0A087WSW9;Q16881-4;E9PNQ6;Q16881-3;Q16881-6;Q16881;A0A087WSY9;E2QRB9;Q16881-7	Thioredoxin reductase 1, cytoplasmic	>tr|E9PIR7|E9PIR7_HUMAN Glycosyl-phosphatidylinositol-anchored molecule-like protein OS=Homo sapiens GN=GML PE=3 SV=1;>tr|F8W809|F8W809_HUMAN Glycosyl-phosphatidylinositol-anchored molecule-like protein OS=Homo sapiens GN=GML PE=4 SV=1;>sp|Q16881-5|TRXR1_H	TXNRD1	-0.1283771	0.2106382	0.1066163	0.2834477	0	Homo sapiens	0.0822611	0.390064	4	18	FALSE	0	1	TXNRD1	0.04113055	0.730991715907557	0.828781892723389	0.195032	0.0629132074626971	0.225613155891283
2879	K7ERP4;P36969-2;K7ENB4;K7EKX7;A0A087X2I2;P36969;A0A087WT12;K7EJ20;R4GNE4;A0A087X247	K7ERP4;P36969-2;K7ENB4;K7EKX7;A0A087X2I2;P36969;A0A087WT12;K7EJ20;R4GNE4	Glutathione peroxidase;Phospholipid hydroperoxide glutathione peroxidase, mitochondrial	>tr|K7ERP4|K7ERP4_HUMAN Glutathione peroxidase (Fragment) OS=Homo sapiens GN=GPX4 PE=1 SV=1;>sp|P36969-2|GPX4_HUMAN Isoform Cytoplasmic of Phospholipid hydroperoxide glutathione peroxidase, mitochondrial OS=Homo sapiens GN=GPX4;>tr|K7ENB4|K7ENB4_HUMAN Glut	GPX4	NA	NA	0.2580967	0.2343786	0.0022269	Homo sapiens	NA	0.4924753	2	19	FALSE	0	1	GPX4	NA	NA	NA	0.24623765	0.0125552966630725	0.146394226028297
25879	Q9NV06;A0A087WT20;B3KME9;A0A087X1F8;E5RHM4;Q9NV06-2	Q9NV06;A0A087WT20	DDB1- and CUL4-associated factor 13	>sp|Q9NV06|DCA13_HUMAN DDB1- and CUL4-associated factor 13 OS=Homo sapiens GN=DCAF13 PE=1 SV=2;>tr|A0A087WT20|A0A087WT20_HUMAN DDB1- and CUL4-associated factor 13 OS=Homo sapiens GN=DCAF13 PE=4 SV=1	DCAF13	-0.05689634	0.007339063	-0.05775201	0.01692422	0	Homo sapiens	-0.049557277	-0.04082779	4	20	FALSE	0	1	DCAF13	-0.0247786385	0.797536278392133	0.879334871047736	-0.020413895	0.71600847779747	0.829044447184651
121053	Q8N5I9;A0A087WT30	Q8N5I9;A0A087WT30	Uncharacterized protein C12orf45	>sp|Q8N5I9|CL045_HUMAN Uncharacterized protein C12orf45 OS=Homo sapiens GN=C12orf45 PE=1 SV=2;>tr|A0A087WT30|A0A087WT30_HUMAN Uncharacterized protein C12orf45 OS=Homo sapiens GN=C12orf45 PE=4 SV=1	C12orf45	NA	NA	NA	NA	0.00030102	Homo sapiens	NA	NA	0	21	FALSE	0	1	C12orf45	NA	NA	NA	NA	NA	NA
3163	P30519-2;P30519;A0A087WT44;I3L159;I3L1F5;I3L276;I3L1Y2;I3L4P8;I3L463	P30519-2;P30519;A0A087WT44;I3L159;I3L1F5	Heme oxygenase 2	>sp|P30519-2|HMOX2_HUMAN Isoform 2 of Heme oxygenase 2 OS=Homo sapiens GN=HMOX2;>sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens GN=HMOX2 PE=1 SV=2;>tr|A0A087WT44|A0A087WT44_HUMAN Heme oxygenase 2 OS=Homo sapiens GN=HMOX2 PE=4 SV=1;>tr|I3L159|I3L159	HMOX2	-0.967617	-0.3716277	-0.08525184	0.04907312	0	Homo sapiens	-1.3392447	-0.03617872	4	22	FALSE	0	1	HMOX2	-0.66962235	0.00417355892816744	0.02578557679441	-0.01808936	0.782958938516132	0.869794897783274
28970	E9PJU8;Q9H0W9-4;A0A087WT99;Q9H0W9-2;Q9H0W9;E9PPB5;E9PQS1;Q9H0W9-3	E9PJU8;Q9H0W9-4;A0A087WT99;Q9H0W9-2;Q9H0W9;E9PPB5;E9PQS1;Q9H0W9-3	Ester hydrolase C11orf54	>tr|E9PJU8|E9PJU8_HUMAN Ester hydrolase C11orf54 (Fragment) OS=Homo sapiens GN=C11orf54 PE=1 SV=1;>sp|Q9H0W9-4|CK054_HUMAN Isoform 4 of Ester hydrolase C11orf54 OS=Homo sapiens GN=C11orf54;>tr|A0A087WT99|A0A087WT99_HUMAN Ester hydrolase C11orf54 OS=Homo sa	C11orf54	NA	NA	-0.004971459	0.1534163	0	Homo sapiens	NA	0.148444841	2	23	FALSE	0	1	C11orf54	NA	NA	NA	0.0742224205	0.33264757710707	0.517712826264871
8890	A0A087WTA5;Q9UI10-3;Q9UI10;Q9UI10-2;E7ERK9;H7C2L8;A0A087WW69;F8W8L6	A0A087WTA5;Q9UI10-3;Q9UI10;Q9UI10-2;E7ERK9	Translation initiation factor eIF-2B subunit delta	>tr|A0A087WTA5|A0A087WTA5_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens GN=EIF2B4 PE=4 SV=1;>sp|Q9UI10-3|EI2BD_HUMAN Isoform 3 of Translation initiation factor eIF-2B subunit delta OS=Homo sapiens GN=EIF2B4;>sp|Q9UI10|EI2BD_HUMAN	EIF2B4	-0.2465837	NA	-0.07672148	-0.1008554	0	Homo sapiens	-0.2465837	-0.17757688	3	24	FALSE	0	1	EIF2B4	-0.2465837	0.140305167099899	0.274101677476369	-0.08878844	0.153005454944846	0.342145039470762
138639	A2A3K4;A2A3K4-2;A0A087WTF0	A2A3K4;A2A3K4-2;A0A087WTF0	Protein tyrosine phosphatase domain-containing protein 1	>sp|A2A3K4|PTPC1_HUMAN Protein tyrosine phosphatase domain-containing protein 1 OS=Homo sapiens GN=PTPDC1 PE=2 SV=1;>sp|A2A3K4-2|PTPC1_HUMAN Isoform 2 of Protein tyrosine phosphatase domain-containing protein 1 OS=Homo sapiens GN=PTPDC1;>tr|A0A087WTF0|A0A0	PTPDC1	0.2250281	0.2766753	NA	NA	0	Homo sapiens	0.5017034	NA	2	25	FALSE	0	1	PTPDC1	0.2508517	0.0337516891847915	0.101304665922023	NA	NA	NA
401541	A0A087WTF1;Q6IPU0	A0A087WTF1;Q6IPU0	Centromere protein P	>tr|A0A087WTF1|A0A087WTF1_HUMAN Centromere protein P OS=Homo sapiens GN=CENPP PE=4 SV=1;>sp|Q6IPU0|CENPP_HUMAN Centromere protein P OS=Homo sapiens GN=CENPP PE=1 SV=1	CENPP	NA	NA	NA	NA	0.00015608	Homo sapiens	NA	NA	0	26	FALSE	0	1	CENPP	NA	NA	NA	NA	NA	NA
84876	A0A087WTK9	A0A087WTK9		>tr|A0A087WTK9|A0A087WTK9_HUMAN Calcium release-activated calcium channel protein 1 OS=Homo sapiens GN=ORAI1 PE=4 SV=1		NA	NA	NA	NA	0	Homo sapiens	NA	NA	0	27	FALSE	0	2	ORAI1	0.9161708	0.00117769730487507	0.0122414592631416	NA	NA	NA
338	A0A087WTM7;P04114;A8MUN2	A0A087WTM7;P04114	Apolipoprotein B-100;Apolipoprotein B-48	>tr|A0A087WTM7|A0A087WTM7_HUMAN Apolipoprotein B-100 OS=Homo sapiens GN=APOB PE=4 SV=1;>sp|P04114|APOB_HUMAN Apolipoprotein B-100 OS=Homo sapiens GN=APOB PE=1 SV=2	APOB	0.0265876	0.05977056	0.1518587	0.28889	0.00044313	Homo sapiens	0.08635816	0.4407487	4	28	FALSE	0	1	APOB	0.04317908	0.654403000423874	0.774848499404637	0.22037435	0.0341669253865152	0.179849353174621
51714	Q6IAK0;A0A087WTN3;P62341;A0A087WVA1	Q6IAK0;A0A087WTN3;P62341;A0A087WVA1	Selenoprotein T	>tr|Q6IAK0|Q6IAK0_HUMAN SELT protein OS=Homo sapiens GN=SELT PE=2 SV=1;>tr|A0A087WTN3|A0A087WTN3_HUMAN Selenoprotein T OS=Homo sapiens GN=SELT PE=4 SV=1;>sp|P62341|SELT_HUMAN Selenoprotein T OS=Homo sapiens GN=SELT PE=2 SV=2;>tr|A0A087WVA1|A0A087WVA1_HUMAN	SELT	NA	NA	-0.1907997	0.0116388	0.00030764	Homo sapiens	NA	-0.1791609	2	29	FALSE	0	1	SELT	NA	NA	NA	-0.08958045	0.310418105039497	0.496668968063195
11033,55803	J3KST1;K7ENT1;J3QLP8;H7C4B3;H7BZT6;H7C264;H7C324;A0A087WTN6;O75689-3;H0Y7Q1;O75689;Q9NPF8-2;Q9NPF8;O75689-2;Q2V6Q1	J3KST1;K7ENT1;J3QLP8;H7C4B3;H7BZT6;H7C264;H7C324;A0A087WTN6;O75689-3;H0Y7Q1;O75689;Q9NPF8-2;Q9NPF8;O75689-2;Q2V6Q1	Arf-GAP with dual PH domain-containing protein 1;Arf-GAP with dual PH domain-containing protein 2	>tr|J3KST1|J3KST1_HUMAN Arf-GAP with dual PH domain-containing protein 2 (Fragment) OS=Homo sapiens GN=ADAP2 PE=4 SV=3;>tr|K7ENT1|K7ENT1_HUMAN Arf-GAP with dual PH domain-containing protein 2 (Fragment) OS=Homo sapiens GN=ADAP2 PE=4 SV=1;>tr|J3QLP8|J3QLP8_	ADAP1;ADAP2;CENTA2	NA	NA	0.3425547	NA	0.0090703	Homo sapiens	NA	0.3425547	1	30	TRUE	0	1	ADAP1,ADAP2	NA	NA	NA	0.3425547	0.0464602427306384	0.200427275702185
22884	C9JGR9;E7EQ49;A0A087WTQ2;Q9Y2I8-3;Q9Y2I8;Q9Y2I8-2	C9JGR9;E7EQ49;A0A087WTQ2;Q9Y2I8-3;Q9Y2I8;Q9Y2I8-2	WD repeat-containing protein 37	>tr|C9JGR9|C9JGR9_HUMAN WD repeat-containing protein 37 (Fragment) OS=Homo sapiens GN=WDR37 PE=4 SV=1;>tr|E7EQ49|E7EQ49_HUMAN WD repeat-containing protein 37 OS=Homo sapiens GN=WDR37 PE=1 SV=1;>tr|A0A087WTQ2|A0A087WTQ2_HUMAN WD repeat-containing protein 37	WDR37	NA	NA	0.01521204	0.05325044	0.00029713	Homo sapiens	NA	0.06846248	2	31	FALSE	0	1	WDR37	NA	NA	NA	0.03423124	0.524394754186086	0.685801394198583
29058	Q5JWB9;Q96A57;A0A087WTT2;Q96A57-2	Q5JWB9;Q96A57;A0A087WTT2;Q96A57-2	Transmembrane protein 230	>tr|Q5JWB9|Q5JWB9_HUMAN Transmembrane protein 230 (Fragment) OS=Homo sapiens GN=TMEM230 PE=1 SV=1;>sp|Q96A57|TM230_HUMAN Transmembrane protein 230 OS=Homo sapiens GN=TMEM230 PE=1 SV=1;>tr|A0A087WTT2|A0A087WTT2_HUMAN Transmembrane protein 230 OS=Homo sapien	TMEM230	NA	NA	NA	NA	0	Homo sapiens	NA	NA	0	32	FALSE	0	1	TMEM230	NA	NA	NA	NA	NA	NA
10489	A0A087WTU1;Q15345-3;Q15345;A0A087X0S7	A0A087WTU1;Q15345-3;Q15345;A0A087X0S7	Leucine-rich repeat-containing protein 41	>tr|A0A087WTU1|A0A087WTU1_HUMAN Leucine-rich repeat-containing protein 41 OS=Homo sapiens GN=LRRC41 PE=4 SV=1;>sp|Q15345-3|LRC41_HUMAN Isoform 3 of Leucine-rich repeat-containing protein 41 OS=Homo sapiens GN=LRRC41;>sp|Q15345|LRC41_HUMAN Leucine-rich repe	LRRC41	0.03787417	0.1394695	0.003170453	-0.06434412	0	Homo sapiens	0.17734367	-0.061173667	4	33	FALSE	0	1	LRRC41	0.088671835	0.380365413447753	0.543772570806921	-0.0305868335	0.585466703103364	0.730966411703607
29920	A0A087WTV6;Q96C36;J3KR12;A0A087WZR9;A0A087WX69;A0A087WZF0	A0A087WTV6;Q96C36;J3KR12	Pyrroline-5-carboxylate reductase 2	>tr|A0A087WTV6|A0A087WTV6_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens GN=PYCR2 PE=4 SV=1;>sp|Q96C36|P5CR2_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens GN=PYCR2 PE=1 SV=1;>tr|J3KR12|J3KR12_HUMAN Uncharacterized protein OS=Homo sap	PYCR2	-0.6477838	-0.5028527	-0.3740937	-0.3557929	0	Homo sapiens	-1.1506365	-0.7298866	4	34	FALSE	0	1	PYCR2	-0.57531825	0.000896216610810439	0.0105202438366685	-0.3649433	0.003937492080777	0.13539899091682
29128	Q96T88;Q96T88-2;A0A087WVR3;A0A087WTW0;A0A087WWG9	Q96T88;Q96T88-2;A0A087WVR3;A0A087WTW0	E3 ubiquitin-protein ligase UHRF1	>sp|Q96T88|UHRF1_HUMAN E3 ubiquitin-protein ligase UHRF1 OS=Homo sapiens GN=UHRF1 PE=1 SV=1;>sp|Q96T88-2|UHRF1_HUMAN Isoform 2 of E3 ubiquitin-protein ligase UHRF1 OS=Homo sapiens GN=UHRF1;>tr|A0A087WVR3|A0A087WVR3_HUMAN E3 ubiquitin-protein ligase UHRF1 O	UHRF1	0.4505911	0.3312466	0.3799537	0.3668118	0	Homo sapiens	0.7818377	0.7467655	4	35	FALSE	0	1	UHRF1	0.39091885	0.00585031838959031	0.0321682110984834	0.37338275	0.00364571419526832	0.13539899091682
9994	A0A087WTW5;Q9UKL3	A0A087WTW5;Q9UKL3	CASP8-associated protein 2	>tr|A0A087WTW5|A0A087WTW5_HUMAN CASP8-associated protein 2 OS=Homo sapiens GN=CASP8AP2 PE=4 SV=1;>sp|Q9UKL3|C8AP2_HUMAN CASP8-associated protein 2 OS=Homo sapiens GN=CASP8AP2 PE=1 SV=1	CASP8AP2	-0.08853084	-0.05095068	NA	NA	0	Homo sapiens	-0.13948152	NA	2	36	FALSE	0	1	CASP8AP2	-0.06974076	0.475974215030719	0.632721987764558	NA	NA	NA
93621	A0A087WTY9;Q9Y605	A0A087WTY9;Q9Y605	MORF4 family-associated protein 1	>tr|A0A087WTY9|A0A087WTY9_HUMAN MORF4 family-associated protein 1 OS=Homo sapiens GN=MRFAP1 PE=4 SV=1;>sp|Q9Y605|MOFA1_HUMAN MORF4 family-associated protein 1 OS=Homo sapiens GN=MRFAP1 PE=1 SV=1	MRFAP1	NA	NA	NA	0.01792198	0	Homo sapiens	NA	0.01792198	1	37	FALSE	0	1	MRFAP1	NA	NA	NA	0.01792198	0.842842111109501	0.905807704424487
