Protein IDs	Majority protein IDs	Protein names	Gene names	Fasta headers	Gene name	Nuc_rep2	Nuc_rep3	Total_rep2	Total_rep3	Q-value
A0A075B752;A0A087WUP0	A0A075B752;A0A087WUP0			>tr|A0A075B752|A0A075B752_HUMAN Annexin A8-like protein 1 OS=Homo sapiens GN=ANXA8L1 PE=4 SV=1;>tr|A0A087WUP0|A0A087WUP0_HUMAN Annexin A8-like protein 1 OS=Homo sapiens GN=ANXA8L1 PE=4 SV=1		-0.6905443	-0.5533203	0.01321208	-0.03659984	0
Q4V328-4;A0A075B793;Q4V328;Q4V328-2;A0A087WT45;Q4V328-3;A0A087WXA6;A0A087WZF5;A0A087WW92;A0A087WV84;A0A087WWF2	Q4V328-4;A0A075B793;Q4V328;Q4V328-2;A0A087WT45;Q4V328-3	GRIP1-associated protein 1	GRIPAP1	>sp|Q4V328-4|GRAP1_HUMAN Isoform 4 of GRIP1-associated protein 1 OS=Homo sapiens GN=GRIPAP1;>tr|A0A075B793|A0A075B793_HUMAN GRIP1-associated protein 1 OS=Homo sapiens GN=GRIPAP1 PE=1 SV=2;>sp|Q4V328|GRAP1_HUMAN GRIP1-associated protein 1 OS=Homo sapiens GN	GRIPAP1	NaN	NaN	-0.8921246	-0.767855	0
A0A075B7B5;O75044;A2RUF3;Q5VZB4;P0DMP2;E9PDX4;A0A087X0L1;A0A087WW56	A0A075B7B5;O75044;A2RUF3;Q5VZB4;P0DMP2	SLIT-ROBO Rho GTPase-activating protein 2	SRGAP2	>tr|A0A075B7B5|A0A075B7B5_HUMAN SLIT-ROBO Rho GTPase-activating protein 2 OS=Homo sapiens GN=SRGAP2 PE=1 SV=1;>sp|O75044|SRGP2_HUMAN SLIT-ROBO Rho GTPase-activating protein 2 OS=Homo sapiens GN=SRGAP2 PE=1 SV=2;>tr|A2RUF3|A2RUF3_HUMAN SLIT-ROBO Rho GTPase	SRGAP2	NaN	NaN	0.3512891	NaN	0.00015823
A8CG34;A0A075B7F8;A8CG34-2;A0A087WY75;A6NF01;C9JFL1	A8CG34;A0A075B7F8;A8CG34-2;A0A087WY75	Nuclear envelope pore membrane protein POM 121C	POM121C	>sp|A8CG34|P121C_HUMAN Nuclear envelope pore membrane protein POM 121C OS=Homo sapiens GN=POM121C PE=1 SV=2;>tr|A0A075B7F8|A0A075B7F8_HUMAN Nuclear envelope pore membrane protein POM 121C OS=Homo sapiens GN=POM121C PE=4 SV=2;>sp|A8CG34-2|P121C_HUMAN Isofor	POM121C	-0.1066378	0.1025909	0.2753647	0.6170163	0
A0A075B7G8;O00213-2;O00213;J3KPL8	A0A075B7G8;O00213-2;O00213;J3KPL8	Amyloid beta A4 precursor protein-binding family B member 1	APBB1	>tr|A0A075B7G8|A0A075B7G8_HUMAN Tigger transposable element-derived protein 4 OS=Homo sapiens GN=TIGD4 PE=4 SV=2;>sp|O00213-2|APBB1_HUMAN Isoform 2 of Amyloid beta A4 precursor protein-binding family B member 1 OS=Homo sapiens GN=APBB1;>sp|O00213|APBB1_HUM	APBB1	NaN	NaN	NaN	NaN	0.0075309
A0A087WSV0;Q9HB09-3;Q9HB09;M0QZM6;I6LJZ7	A0A087WSV0;Q9HB09-3;Q9HB09	Bcl-2-like protein 12	BCL2L12	>tr|A0A087WSV0|A0A087WSV0_HUMAN Histone H2B type 1-O OS=Homo sapiens GN=HIST1H2BO PE=4 SV=1;>sp|Q9HB09-3|B2L12_HUMAN Isoform 3 of Bcl-2-like protein 12 OS=Homo sapiens GN=BCL2L12;>sp|Q9HB09|B2L12_HUMAN Bcl-2-like protein 12 OS=Homo sapiens GN=BCL2L12 PE=1	BCL2L12	NaN	NaN	0.2481705	NaN	0
V9HW75;A0A087WSV8;P80303-2;P80303;E9PKG6;Q2L696;E9PLR0;H0YEG8;E9PLE9;H0YD18;E9PJP3;E9PM22	V9HW75;A0A087WSV8;P80303-2;P80303;E9PKG6;Q2L696	Nucleobindin-2;Nesfatin-1	NUCB2;Nucb2	>tr|V9HW75|V9HW75_HUMAN DDB1- and CUL4-associated factor 5 OS=Homo sapiens GN=HEL-S-109 PE=2 SV=1;>tr|A0A087WSV8|A0A087WSV8_HUMAN DDB1- and CUL4-associated factor 5 OS=Homo sapiens GN=DCAF5 PE=4 SV=1;>sp|P80303-2|NUCB2_HUMAN Isoform 2 of Nucleobindin-2 OS=	Nucb2;NUCB2	NaN	NaN	-0.06343934	0.06887715	0
E9PIR7;F8W809;Q16881-5;Q16881-2;A0A087WSW9;Q16881-4;E9PNQ6;Q16881-3;Q16881-6;Q16881;A0A087WSY9;E2QRB9;Q16881-7;E9PKD3;E9PIZ5;E9PLT3;E9PKI4;E9PRI8;E9PQI3	E9PIR7;F8W809;Q16881-5;Q16881-2;A0A087WSW9;Q16881-4;E9PNQ6;Q16881-3;Q16881-6;Q16881;A0A087WSY9;E2QRB9;Q16881-7	"Thioredoxin reductase 1, cytoplasmic"	TXNRD1	>tr|E9PIR7|E9PIR7_HUMAN Glycosyl-phosphatidylinositol-anchored molecule-like protein OS=Homo sapiens GN=GML PE=3 SV=1;>tr|F8W809|F8W809_HUMAN Glycosyl-phosphatidylinositol-anchored molecule-like protein OS=Homo sapiens GN=GML PE=4 SV=1;>sp|Q16881-5|TRXR1_H	TXNRD1	-0.1283771	0.2106382	0.1066163	0.2834477	0
K7ERP4;P36969-2;K7ENB4;K7EKX7;A0A087X2I2;P36969;A0A087WT12;K7EJ20;R4GNE4;A0A087X247	K7ERP4;P36969-2;K7ENB4;K7EKX7;A0A087X2I2;P36969;A0A087WT12;K7EJ20;R4GNE4	"Glutathione peroxidase;Phospholipid hydroperoxide glutathione peroxidase, mitochondrial"	GPX4	">tr|K7ERP4|K7ERP4_HUMAN Glutathione peroxidase (Fragment) OS=Homo sapiens GN=GPX4 PE=1 SV=1;>sp|P36969-2|GPX4_HUMAN Isoform Cytoplasmic of Phospholipid hydroperoxide glutathione peroxidase, mitochondrial OS=Homo sapiens GN=GPX4;>tr|K7ENB4|K7ENB4_HUMAN Glut"	GPX4	NaN	NaN	0.2580967	0.2343786	0.0022269
Q9NV06;A0A087WT20;B3KME9;A0A087X1F8;E5RHM4;Q9NV06-2	Q9NV06;A0A087WT20	DDB1- and CUL4-associated factor 13	DCAF13	>sp|Q9NV06|DCA13_HUMAN DDB1- and CUL4-associated factor 13 OS=Homo sapiens GN=DCAF13 PE=1 SV=2;>tr|A0A087WT20|A0A087WT20_HUMAN DDB1- and CUL4-associated factor 13 OS=Homo sapiens GN=DCAF13 PE=4 SV=1	DCAF13	-0.05689634	0.007339063	-0.05775201	0.01692422	0
Q8N5I9;A0A087WT30	Q8N5I9;A0A087WT30	Uncharacterized protein C12orf45	C12orf45	>sp|Q8N5I9|CL045_HUMAN Uncharacterized protein C12orf45 OS=Homo sapiens GN=C12orf45 PE=1 SV=2;>tr|A0A087WT30|A0A087WT30_HUMAN Uncharacterized protein C12orf45 OS=Homo sapiens GN=C12orf45 PE=4 SV=1	C12orf45	NaN	NaN	NaN	NaN	0.00030102
P30519-2;P30519;A0A087WT44;I3L159;I3L1F5;I3L276;I3L1Y2;I3L4P8;I3L463	P30519-2;P30519;A0A087WT44;I3L159;I3L1F5	Heme oxygenase 2	HMOX2	>sp|P30519-2|HMOX2_HUMAN Isoform 2 of Heme oxygenase 2 OS=Homo sapiens GN=HMOX2;>sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens GN=HMOX2 PE=1 SV=2;>tr|A0A087WT44|A0A087WT44_HUMAN Heme oxygenase 2 OS=Homo sapiens GN=HMOX2 PE=4 SV=1;>tr|I3L159|I3L159	HMOX2	-0.967617	-0.3716277	-0.08525184	0.04907312	0
E9PJU8;Q9H0W9-4;A0A087WT99;Q9H0W9-2;Q9H0W9;E9PPB5;E9PQS1;Q9H0W9-3	E9PJU8;Q9H0W9-4;A0A087WT99;Q9H0W9-2;Q9H0W9;E9PPB5;E9PQS1;Q9H0W9-3	Ester hydrolase C11orf54	C11orf54	>tr|E9PJU8|E9PJU8_HUMAN Ester hydrolase C11orf54 (Fragment) OS=Homo sapiens GN=C11orf54 PE=1 SV=1;>sp|Q9H0W9-4|CK054_HUMAN Isoform 4 of Ester hydrolase C11orf54 OS=Homo sapiens GN=C11orf54;>tr|A0A087WT99|A0A087WT99_HUMAN Ester hydrolase C11orf54 OS=Homo sa	C11orf54	NaN	NaN	-0.004971459	0.1534163	0
A0A087WTA5;Q9UI10-3;Q9UI10;Q9UI10-2;E7ERK9;H7C2L8;A0A087WW69;F8W8L6	A0A087WTA5;Q9UI10-3;Q9UI10;Q9UI10-2;E7ERK9	Translation initiation factor eIF-2B subunit delta	EIF2B4	>tr|A0A087WTA5|A0A087WTA5_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens GN=EIF2B4 PE=4 SV=1;>sp|Q9UI10-3|EI2BD_HUMAN Isoform 3 of Translation initiation factor eIF-2B subunit delta OS=Homo sapiens GN=EIF2B4;>sp|Q9UI10|EI2BD_HUMAN	EIF2B4	-0.2465837	NaN	-0.07672148	-0.1008554	0
A2A3K4;A2A3K4-2;A0A087WTF0	A2A3K4;A2A3K4-2;A0A087WTF0	Protein tyrosine phosphatase domain-containing protein 1	PTPDC1	>sp|A2A3K4|PTPC1_HUMAN Protein tyrosine phosphatase domain-containing protein 1 OS=Homo sapiens GN=PTPDC1 PE=2 SV=1;>sp|A2A3K4-2|PTPC1_HUMAN Isoform 2 of Protein tyrosine phosphatase domain-containing protein 1 OS=Homo sapiens GN=PTPDC1;>tr|A0A087WTF0|A0A0	PTPDC1	0.2250281	0.2766753	NaN	NaN	0
A0A087WTF1;Q6IPU0	A0A087WTF1;Q6IPU0	Centromere protein P	CENPP	>tr|A0A087WTF1|A0A087WTF1_HUMAN Centromere protein P OS=Homo sapiens GN=CENPP PE=4 SV=1;>sp|Q6IPU0|CENPP_HUMAN Centromere protein P OS=Homo sapiens GN=CENPP PE=1 SV=1	CENPP	NaN	NaN	NaN	NaN	0.00015608
A0A087WTK9	A0A087WTK9			>tr|A0A087WTK9|A0A087WTK9_HUMAN Calcium release-activated calcium channel protein 1 OS=Homo sapiens GN=ORAI1 PE=4 SV=1		NaN	NaN	NaN	NaN	0
A0A087WTM7;P04114;A8MUN2	A0A087WTM7;P04114	Apolipoprotein B-100;Apolipoprotein B-48	APOB	>tr|A0A087WTM7|A0A087WTM7_HUMAN Apolipoprotein B-100 OS=Homo sapiens GN=APOB PE=4 SV=1;>sp|P04114|APOB_HUMAN Apolipoprotein B-100 OS=Homo sapiens GN=APOB PE=1 SV=2	APOB	0.0265876	0.05977056	0.1518587	0.28889	0.00044313
Q6IAK0;A0A087WTN3;P62341;A0A087WVA1	Q6IAK0;A0A087WTN3;P62341;A0A087WVA1	Selenoprotein T	SELT	>tr|Q6IAK0|Q6IAK0_HUMAN SELT protein OS=Homo sapiens GN=SELT PE=2 SV=1;>tr|A0A087WTN3|A0A087WTN3_HUMAN Selenoprotein T OS=Homo sapiens GN=SELT PE=4 SV=1;>sp|P62341|SELT_HUMAN Selenoprotein T OS=Homo sapiens GN=SELT PE=2 SV=2;>tr|A0A087WVA1|A0A087WVA1_HUMAN	SELT	NaN	NaN	-0.1907997	0.0116388	0.00030764
J3KST1;K7ENT1;J3QLP8;H7C4B3;H7BZT6;H7C264;H7C324;A0A087WTN6;O75689-3;H0Y7Q1;O75689;Q9NPF8-2;Q9NPF8;O75689-2;Q2V6Q1	J3KST1;K7ENT1;J3QLP8;H7C4B3;H7BZT6;H7C264;H7C324;A0A087WTN6;O75689-3;H0Y7Q1;O75689;Q9NPF8-2;Q9NPF8;O75689-2;Q2V6Q1	Arf-GAP with dual PH domain-containing protein 1;Arf-GAP with dual PH domain-containing protein 2	ADAP2;ADAP1;CENTA2	>tr|J3KST1|J3KST1_HUMAN Arf-GAP with dual PH domain-containing protein 2 (Fragment) OS=Homo sapiens GN=ADAP2 PE=4 SV=3;>tr|K7ENT1|K7ENT1_HUMAN Arf-GAP with dual PH domain-containing protein 2 (Fragment) OS=Homo sapiens GN=ADAP2 PE=4 SV=1;>tr|J3QLP8|J3QLP8_	ADAP1;ADAP2;CENTA2	NaN	NaN	0.3425547	NaN	0.0090703
C9JGR9;E7EQ49;A0A087WTQ2;Q9Y2I8-3;Q9Y2I8;Q9Y2I8-2	C9JGR9;E7EQ49;A0A087WTQ2;Q9Y2I8-3;Q9Y2I8;Q9Y2I8-2	WD repeat-containing protein 37	WDR37	>tr|C9JGR9|C9JGR9_HUMAN WD repeat-containing protein 37 (Fragment) OS=Homo sapiens GN=WDR37 PE=4 SV=1;>tr|E7EQ49|E7EQ49_HUMAN WD repeat-containing protein 37 OS=Homo sapiens GN=WDR37 PE=1 SV=1;>tr|A0A087WTQ2|A0A087WTQ2_HUMAN WD repeat-containing protein 37	WDR37	NaN	NaN	0.01521204	0.05325044	0.00029713
Q5JWB9;Q96A57;A0A087WTT2;Q96A57-2	Q5JWB9;Q96A57;A0A087WTT2;Q96A57-2	Transmembrane protein 230	TMEM230	>tr|Q5JWB9|Q5JWB9_HUMAN Transmembrane protein 230 (Fragment) OS=Homo sapiens GN=TMEM230 PE=1 SV=1;>sp|Q96A57|TM230_HUMAN Transmembrane protein 230 OS=Homo sapiens GN=TMEM230 PE=1 SV=1;>tr|A0A087WTT2|A0A087WTT2_HUMAN Transmembrane protein 230 OS=Homo sapien	TMEM230	NaN	NaN	NaN	NaN	0
A0A087WTU1;Q15345-3;Q15345;A0A087X0S7	A0A087WTU1;Q15345-3;Q15345;A0A087X0S7	Leucine-rich repeat-containing protein 41	LRRC41	>tr|A0A087WTU1|A0A087WTU1_HUMAN Leucine-rich repeat-containing protein 41 OS=Homo sapiens GN=LRRC41 PE=4 SV=1;>sp|Q15345-3|LRC41_HUMAN Isoform 3 of Leucine-rich repeat-containing protein 41 OS=Homo sapiens GN=LRRC41;>sp|Q15345|LRC41_HUMAN Leucine-rich repe	LRRC41	0.03787417	0.1394695	0.003170453	-0.06434412	0
A0A087WTV6;Q96C36;J3KR12;A0A087WZR9;A0A087WX69;A0A087WZF0	A0A087WTV6;Q96C36;J3KR12	Pyrroline-5-carboxylate reductase 2	PYCR2	>tr|A0A087WTV6|A0A087WTV6_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens GN=PYCR2 PE=4 SV=1;>sp|Q96C36|P5CR2_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens GN=PYCR2 PE=1 SV=1;>tr|J3KR12|J3KR12_HUMAN Uncharacterized protein OS=Homo sap	PYCR2	-0.6477838	-0.5028527	-0.3740937	-0.3557929	0
Q96T88;Q96T88-2;A0A087WVR3;A0A087WTW0;A0A087WWG9	Q96T88;Q96T88-2;A0A087WVR3;A0A087WTW0	E3 ubiquitin-protein ligase UHRF1	UHRF1	>sp|Q96T88|UHRF1_HUMAN E3 ubiquitin-protein ligase UHRF1 OS=Homo sapiens GN=UHRF1 PE=1 SV=1;>sp|Q96T88-2|UHRF1_HUMAN Isoform 2 of E3 ubiquitin-protein ligase UHRF1 OS=Homo sapiens GN=UHRF1;>tr|A0A087WVR3|A0A087WVR3_HUMAN E3 ubiquitin-protein ligase UHRF1 O	UHRF1	0.4505911	0.3312466	0.3799537	0.3668118	0
A0A087WTW5;Q9UKL3	A0A087WTW5;Q9UKL3	CASP8-associated protein 2	CASP8AP2	>tr|A0A087WTW5|A0A087WTW5_HUMAN CASP8-associated protein 2 OS=Homo sapiens GN=CASP8AP2 PE=4 SV=1;>sp|Q9UKL3|C8AP2_HUMAN CASP8-associated protein 2 OS=Homo sapiens GN=CASP8AP2 PE=1 SV=1	CASP8AP2	-0.08853084	-0.05095068	NaN	NaN	0
A0A087WTY9;Q9Y605	A0A087WTY9;Q9Y605	MORF4 family-associated protein 1	MRFAP1	>tr|A0A087WTY9|A0A087WTY9_HUMAN MORF4 family-associated protein 1 OS=Homo sapiens GN=MRFAP1 PE=4 SV=1;>sp|Q9Y605|MOFA1_HUMAN MORF4 family-associated protein 1 OS=Homo sapiens GN=MRFAP1 PE=1 SV=1	MRFAP1	NaN	NaN	NaN	0.01792198	0
Q96RQ1;A0A087WU02;H0YI50;F8VPA6;F8W0R1;H0YI58;F8VR88;F8VUZ2;H0YHJ8	Q96RQ1;A0A087WU02;H0YI50;F8VPA6;F8W0R1	Endoplasmic reticulum-Golgi intermediate compartment protein 2	ERGIC2	>sp|Q96RQ1|ERGI2_HUMAN Endoplasmic reticulum-Golgi intermediate compartment protein 2 OS=Homo sapiens GN=ERGIC2 PE=1 SV=2;>tr|A0A087WU02|A0A087WU02_HUMAN Relaxin-3 OS=Homo sapiens GN=RLN3 PE=4 SV=1;>tr|H0YI50|H0YI50_HUMAN Relaxin-3 (Fragment) OS=Homo sapie	ERGIC2	-0.764518	-0.2669407	0.1897929	0.1276332	0
A0A087WU05;Q8IY22-3;A0A087WY48;Q8IY22-2;Q8IY22	A0A087WU05;Q8IY22-3;A0A087WY48;Q8IY22-2;Q8IY22	C-Maf-inducing protein	CMIP	>tr|A0A087WU05|A0A087WU05_HUMAN C-Maf-inducing protein OS=Homo sapiens GN=CMIP PE=4 SV=1;>sp|Q8IY22-3|CMIP_HUMAN Isoform 3 of C-Maf-inducing protein OS=Homo sapiens GN=CMIP;>tr|A0A087WY48|A0A087WY48_HUMAN C-Maf-inducing protein OS=Homo sapiens GN=CMIP PE=4	CMIP	NaN	NaN	NaN	-0.04299178	0
A0A087WU07;R4GMY4;R4GNA1;Q5TGZ0	A0A087WU07;R4GMY4;R4GNA1;Q5TGZ0	Mitochondrial inner membrane organizing system protein 1	NBL1;MINOS1	>tr|A0A087WU07|A0A087WU07_HUMAN MICOS complex subunit MIC10 OS=Homo sapiens GN=MINOS1 PE=4 SV=1;>tr|R4GMY4|R4GMY4_HUMAN Chromosome 1 open reading frame 151 OS=Homo sapiens GN=MINOS1-NBL1 PE=4 SV=2;>tr|R4GNA1|R4GNA1_HUMAN Protein MINOS1-NBL1 (Fragment) OS=H	MINOS1	0.4576468	NaN	0.520045	NaN	0.00029981
A0A087WU18;Q99607	A0A087WU18;Q99607	ETS-related transcription factor Elf-4	ELF4	>tr|A0A087WU18|A0A087WU18_HUMAN ETS-related transcription factor Elf-4 OS=Homo sapiens GN=ELF4 PE=4 SV=1;>sp|Q99607|ELF4_HUMAN ETS-related transcription factor Elf-4 OS=Homo sapiens GN=ELF4 PE=1 SV=1	ELF4	NaN	NaN	NaN	NaN	0
M0R176;A0A087WU28;Q4U2R6	M0R176;A0A087WU28;Q4U2R6	"39S ribosomal protein L51, mitochondrial"	MRPL51	">tr|M0R176|M0R176_HUMAN 39S ribosomal protein L51, mitochondrial OS=Homo sapiens GN=MRPL51 PE=1 SV=1;>tr|A0A087WU28|A0A087WU28_HUMAN 39S ribosomal protein L51, mitochondrial (Fragment) OS=Homo sapiens GN=MRPL51 PE=4 SV=1;>sp|Q4U2R6|RM51_HUMAN 39S ribosomal"	MRPL51	-1.039459	-1.746083	-0.009684096	-0.1277307	0.00044228
Q9H0U3;A0A087WU53;Q9H0U3-2	Q9H0U3;A0A087WU53;Q9H0U3-2	Magnesium transporter protein 1	MAGT1	>sp|Q9H0U3|MAGT1_HUMAN Magnesium transporter protein 1 OS=Homo sapiens GN=MAGT1 PE=1 SV=1;>tr|A0A087WU53|A0A087WU53_HUMAN Magnesium transporter protein 1 OS=Homo sapiens GN=MAGT1 PE=4 SV=1;>sp|Q9H0U3-2|MAGT1_HUMAN Isoform 2 of Magnesium transporter protein	MAGT1	-0.7244923	NaN	0.03026536	0.03787417	0.00015886
A0A087WU64;P09884;A6NMQ1	A0A087WU64;P09884;A6NMQ1	DNA polymerase alpha catalytic subunit;DNA polymerase	POLA1	>tr|A0A087WU64|A0A087WU64_HUMAN DNA polymerase alpha catalytic subunit OS=Homo sapiens GN=POLA1 PE=4 SV=1;>sp|P09884|DPOLA_HUMAN DNA polymerase alpha catalytic subunit OS=Homo sapiens GN=POLA1 PE=1 SV=2;>tr|A6NMQ1|A6NMQ1_HUMAN DNA polymerase OS=Homo sapien	POLA1	0.03604614	0.05088473	0.1492593	0.1849785	0
A0A087WU65;Q9NRW7;Q9NRW7-2;Q5T4Q0;B7Z7G7	A0A087WU65;Q9NRW7;Q9NRW7-2	Vacuolar protein sorting-associated protein 45	VPS45	>tr|A0A087WU65|A0A087WU65_HUMAN Vacuolar protein sorting-associated protein 45 OS=Homo sapiens GN=VPS45 PE=4 SV=1;>sp|Q9NRW7|VPS45_HUMAN Vacuolar protein sorting-associated protein 45 OS=Homo sapiens GN=VPS45 PE=1 SV=1;>sp|Q9NRW7-2|VPS45_HUMAN Isoform 2 of	VPS45	-0.2376427	-0.1083786	0.07847318	0.1890338	0
A0A087WU78;A0A087WWC4;Q6T4R5-4;Q6T4R5-3;Q6T4R5-2;Q6T4R5	A0A087WU78;A0A087WWC4;Q6T4R5-4;Q6T4R5-3;Q6T4R5-2;Q6T4R5	Nance-Horan syndrome protein	NHS	>tr|A0A087WU78|A0A087WU78_HUMAN Nance-Horan syndrome protein OS=Homo sapiens GN=NHS PE=4 SV=1;>tr|A0A087WWC4|A0A087WWC4_HUMAN Nance-Horan syndrome protein OS=Homo sapiens GN=NHS PE=4 SV=1;>sp|Q6T4R5-4|NHS_HUMAN Isoform 4 of Nance-Horan syndrome protein OS=	NHS	0.1500396	0.4093637	NaN	NaN	0
